Atlantic,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25,-65.5,,,,,,,,,,,,
24,-66.5,,,,,,,,,,,,
23,-67.5,,,,,,,,,,,,
22,-68.5,,,,,,,,,,,,
21,-69.5,,,,,,,,,,,,
20,-70.5,,,,,,,,,,,,
19,-71.5,,,,,,,,,,,,
18,-72.5,,,,,,,,,,,,
17,-73.5,,,,,,,,,,,,
16,-74.5,,,,,,,,,,,,
15,-75.5,,,,,,,,,,,,
14,-76.5,,,,,,,,,,,,
13,-77.5,,,,,,,,,,,,
12,-78.5,,,,,,,,,,,,
11,-79.5,,,,,,,,,,,,
10,-80.5,,,,,,,,,,,,
9,-81.5,,,,,,,,,,,,
8,-82.5,,,,,,,,,,,,
7,-83.5,,,,,,,,,,,,
6,-84.5,,,,,,,,,,,,
5,-85.5,,,,,,,,,,,,
4,-86.5,,,,,,,,,,,,
3,-87.5,,,,,,,,,,,,
2,-88.5,,,,,,,,,,,,
1,-89.5,,,,,,,,,,,,
